b0_iriL_all,b0_mel_all,b0_iriD_all,b0_xanS_all,b0_xanC_all,b1_iriL_all,b1_mel_all,b1_iriD_all,b1_xanS_all,b1_xanC_all,avg_straightness_all,med_straightness_all,med_mel_widths_all,med_xanC_widths_all,med_xanS_widths_all,med_iriL_widths_all,med_idiD_widths_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,xanSmel_density_all,melxanS_density_all,iriLmel_density_all,dayOfNewStripes,annulus_In_MB
13,13,1,18,1,0,0,6,0,6,28.9151627134725,28.9151627134725,NaN,278.5,NaN,NaN,246.5,235.407014909568,30826.8160924692,74.5838736484099,40.5554904098014,89.7901881921589,72.3524775407035,1129.88081696018,94.3424266258847,302.669645492788,43.4589102881221,570.450262596762,0,7,0,0,10
15,14,1,17,1,0,0,4,0,6,-0.863734516054543,-0.863734516054543,NaN,216.8,NaN,NaN,222.1,308.071800650816,39352.9890446421,64.3927414853716,39.64231045114,115.644072823862,72.0160767001865,305.876727629345,102.643286222615,93.8124849464801,33.1805661118015,226.591773776019,0,7,0,0,10
8,19,1,12,1,0,0,3,0,5,-4.91803278688525,-4.91803278688525,NaN,231.5,NaN,NaN,235.8,330.484448304281,17315.127746167,39.8163845684476,40.1816047619858,95.6008193527644,69.8299525396368,909.168579416426,102.228664634489,173.199123420978,34.533978390684,166.50290973994,0,8,0,0,10
17,7,1,17,1,0,0,6,0,5,-1.10380652668092,-1.10380652668092,NaN,269.1,NaN,NaN,239,391.99718931512,79383.7656277356,71.8758336701536,39.5880957917744,107.665505869158,74.1468670583484,896.013591805995,94.3914874863643,227.566868871445,51.4063005023607,677.113274810482,0,7,0,0,10
11,14,1,15,1,0,0,7,0,7,-2.42394730961818,-2.42394730961818,NaN,265.05,NaN,NaN,220.8,297.363360587534,47106.2424341,72.9880524102881,40.0819966386454,94.6772170332471,72.6394117887783,459.732050469321,97.535146609935,70.1636669993682,28.3744545256333,185.52012595019,0,7.16666666666667,0,0,10
14,17,1,16,1,0,0,8,0,7,-0.404018362697273,-0.404018362697273,NaN,253.7,NaN,NaN,230,319.130695578397,39767.8702055968,62.4881385224939,39.5773927969648,111.398770719487,70.1294527615049,275.20602762984,109.125950048535,78.0517739757638,40.6301479126544,131.460135867963,0,9.11904761904762,0,0,10
15,10,1,17,1,0,0,7,0,9,2.68293589905647,2.68293589905647,NaN,248.65,NaN,NaN,219.6,510.475926163038,74489.7343900018,53.4654156054359,40.2258199424236,105.260106762514,71.7706710234143,1155.43532979863,104.984925450974,60.4200402091339,33.9195227113505,250.975711894074,0,7,0,0,10
14,14,1,16,1,0,0,6,0,6,8.81703463156439,8.81703463156439,NaN,251.9,NaN,NaN,223.1,316.11752550472,41990.82965296,64.8229295148261,40.403079797467,91.7873303442002,71.361115164307,348.513041096234,99.6411019620109,109.859403639786,34.6861056238778,253.976258706234,0,7.04761904761905,0,0,10
10,11,1,13,1,0,0,3,0,3,21.0351699451533,21.0351699451533,NaN,281.85,NaN,NaN,239.85,402.559742677096,68587.3207716617,65.0566322043628,39.4492221416539,100.980220907108,69.8616838113613,879.170726082084,101.060827623645,223.042599638766,34.7936494661394,229.409604027536,0,9,0,0,10
11,13,1,16,1,0,0,6,0,7,33.8673852373719,33.8673852373719,NaN,269.55,NaN,NaN,248.2,328.294687807825,56375.444159089,72.3237827350157,40.2887589415834,97.185862790552,75.577201793448,701.272597975378,102.739280792427,164.900388912544,37.7870846856582,197.354037147227,0,7.14285714285714,0,0,10
10,19,1,11,1,0,0,3,0,3,3.94147208944448,3.94147208944448,NaN,254.05,NaN,NaN,222,330.646296046342,32827.1673414814,54.7965280964385,40.0357828634627,89.1255534732878,70.0186781581723,596.995044051091,100.136830555395,295.438950111112,36.6838281219111,285.820072468436,0,8.16666666666667,0,0,10
15,8,1,17,1,0,0,6,0,7,1.90887248890621,1.90887248890621,NaN,257.6,NaN,NaN,230.1,480.862561735747,117800.28899255,71.3760010339123,40.2514402926281,93.2781100236692,76.52328494495,1155.75161621298,103.907827607586,41.1908712281245,35.9625469236243,226.222713650525,0,10,0,0,10
8,16,1,15,0,0,0,3,0,0,12.2712333219879,12.2712333219879,NaN,NaN,NaN,NaN,218.6,312.813025825155,24367.7927061237,49.9026106820382,39.8576911328673,105.748980610269,72.8261358297748,595.304500528989,101.630348140061,92.3225365177848,36.5407146750165,238.141683140691,0,7.52380952380952,0,0,10
8,17,1,15,1,0,0,6,0,7,6.56585192105203,6.56585192105203,NaN,281.85,NaN,NaN,247.8,214.193350413335,19626.9922019309,65.406497113019,40.12456251223,99.9253495673074,71.1141171623016,608.601802498155,105.283459279847,130.229734634311,34.4445966973359,158.578375958814,0,8.59523809523809,0,0,10
9,14,1,11,1,0,0,2,0,2,-1.80123209201468,-1.80123209201468,NaN,243.6,NaN,NaN,213.5,271.452663027015,24928.5535519776,58.1640224445646,39.4649323547998,115.134955341576,69.3818243132792,442.885849543872,104.773947537361,187.684633735954,38.2832140836832,321.181909704855,0,6.11904761904762,0,0,10
12,12,1,18,1,0,0,5,0,5,-1.80513533503898,-1.80513533503898,NaN,230.7,NaN,NaN,223.35,291.379862894146,44794.4872201234,72.636138840874,40.1472145533634,115.596204376175,76.0760218498404,968.713014462267,97.8026556001529,156.130524847366,29.2719022577073,194.306388141453,0,8,0,0,10
15,10,1,19,1,0,0,6,0,6,11.0646755330757,11.0646755330757,NaN,263.6,NaN,NaN,228.9,421.379265268098,54237.8782861973,55.2685644760899,40.318002693099,96.8248581453397,74.3257258601236,959.765577233278,104.979166218499,314.798136972653,41.8686330348499,137.1232671135,0,5,0,0,10
14,11,1,16,1,0,0,6,0,7,-3.27868852459017,-3.27868852459017,NaN,251.95,NaN,NaN,234.6,437.625843697929,61072.1534912847,56.4701128984241,40.4487689269754,111.460395773277,73.6650997538895,478.647456164794,103.812981042669,92.030985651774,38.9545848858779,286.03151825129,0,9,0,0,10
13,12,1,17,1,0,0,7,0,6,31.2807609271819,31.2807609271819,NaN,268.5,NaN,NaN,237.75,288.409831499451,39309.3306164438,68.7444692698127,40.2244064538964,100.994298005441,73.0861854414969,962.195899444615,103.655394103091,59.8979318154888,29.5843940283351,282.557856194361,0,7.07142857142857,0,0,10
12,13,1,17,1,0,0,9,0,10,0.570078749153541,0.570078749153541,NaN,258.2,NaN,NaN,233.45,259.878202222976,41764.1014789331,78.637865620877,39.9685073542835,108.191244135709,72.8968038918033,281.114371373473,100.206533015656,129.093701949779,34.9641089544216,533.825768167887,0,7.23809523809524,0,0,10
13,11,1,16,1,0,0,5,0,5,4.62789150827502,4.62789150827502,NaN,261.55,NaN,NaN,232.9,318.058239915394,54971.991850105,73.7163944795984,40.1901793147795,102.354718654157,71.206540370718,740.024421214234,104.854653009327,131.620515305373,34.4426281929422,213.971989437571,0,6.04761904761905,0,0,10
14,10,1,17,1,0,0,6,0,6,-3.27868852459017,-3.27868852459017,NaN,274.9,NaN,NaN,236.9,374.593627738765,72482.3707877089,71.8713511936146,39.6867797258818,110.694795961848,71.3919196350053,351.483981530216,105.219936523238,54.861720320952,44.7600518117573,136.792950103724,0,10.0238095238095,0,0,10
18,15,1,19,1,0,0,8,0,9,6.64865324405428,6.64865324405428,NaN,262.05,NaN,NaN,236.8,377.643806565326,38189.8094283523,51.7477389991415,39.9382291043219,102.527556553126,69.3136508552715,456.144649747251,103.287100739714,92.9708650861294,31.4057192303182,260.446342117963,0,5.35714285714286,0,0,10
10,18,1,12,1,0,0,2,0,3,2.15378339038569,2.15378339038569,NaN,224.8,NaN,NaN,211.4,215.716358054825,16822.3049503655,60.1256343335912,40.1828942181629,102.629685924776,72.130709172293,441.429232459967,99.2749826395571,155.834962270651,33.1197584057426,95.7668975874876,0,5,0,0,10
14,16,1,16,1,0,0,6,0,6,18.5540601283339,18.5540601283339,NaN,255.8,NaN,NaN,227.8,363.200574411754,31119.590849204,48.5702582336682,40.1702735360706,96.8045163532898,68.5732030112024,489.862523980355,103.460603030574,121.333231658755,28.7835963973339,155.214083784973,0,2.30952380952381,0,0,10
7,14,1,15,1,0,0,1,0,3,2.94106573701954,2.94106573701954,NaN,286.4,NaN,NaN,NaN,349.703232182781,40539.773437673,57.5759367075969,39.2623798823053,105.120038098841,71.4423553416665,811.724615084731,98.38221249721,496.003578776897,39.5261837630132,217.05560222757,0,7.07142857142857,0,0,10
12,15,1,13,1,0,0,4,0,3,8.04018031692644,8.04018031692644,NaN,251,NaN,NaN,209.2,274.300685672635,29270.5875138328,62.3718788399201,39.6819952223906,95.5705302957722,74.8318091215541,754.306340784076,102.280763333388,111.078691920368,38.6349938651535,496.055533147668,0,7.21428571428571,0,0,10
15,17,1,17,1,0,0,5,0,6,11.9465951497352,11.9465951497352,NaN,249.3,NaN,NaN,223.5,271.679579447964,29790.6611211434,63.5306171745202,40.0177358528231,111.740671714845,67.4421645050705,968.97912603986,99.3681047690717,103.980427505292,32.6998177156241,208.616062708584,0,6.52380952380952,0,0,10
13,10,1,14,1,0,0,5,0,5,13.9807616671803,13.9807616671803,NaN,263.95,NaN,NaN,236.45,385.310962741841,64794.4765793524,66.0628989535765,39.4609325479857,123.938089064377,75.1597809291595,1015.59862844914,99.719328162783,338.308901161423,32.7808510867086,236.689833036181,0,9,0,0,10
10,13,1,13,1,0,0,4,0,4,-0.506042056621009,-0.506042056621009,NaN,258,NaN,NaN,204,343.180356433106,55902.791305521,68.8960503790827,39.9187105637769,105.730350000408,71.2239732632247,664.793078751526,105.349772825501,115.375418949,33.4629778615836,284.685804437801,0,4.5,0,0,10
8,14,1,13,1,0,0,2,0,4,6.50478378901541,6.50478378901541,NaN,229.3,NaN,NaN,210.1,313.266072358965,33790.77620131,58.6794077594289,39.7615680148257,109.198148222677,74.0791640875783,677.000751819429,98.1885074754916,129.941307786252,30.2503486590922,139.10229889185,0,7.14285714285714,0,0,10
10,14,1,15,1,0,0,4,0,4,8.5398903799055,8.5398903799055,NaN,282.8,NaN,NaN,232.4,277.320372393932,30926.0159193316,63.4132793498786,39.7763300614365,91.894590330558,68.0372013891367,606.891190460785,102.36914277134,111.561119902742,35.3879403608942,215.010955134605,0,6,0,0,10
14,14,1,20,2,0,0,8,0,9,44.9873901004596,44.9873901004596,NaN,278.95,NaN,NaN,249.7,345.645046846701,37118.5971907795,55.7398043032215,39.878519293572,128.322354221464,68.5717685964329,524.65467194214,106.63800205625,121.92858737849,34.8132368650174,167.082956876971,0,7.16666666666667,0,0,10
8,12,1,13,2,0,0,5,0,5,-2.88736153459737,-2.88736153459737,NaN,253.1,NaN,NaN,232.5,242.11093041437,24459.4183265947,64.5964521433432,39.8569331649384,97.1028020891943,74.8939273268706,414.549261941273,99.6727658139313,127.021035357968,34.6218958302643,285.954816683361,0,8,0,0,10
12,9,1,17,1,0,0,7,0,6,27.9385637778148,27.9385637778148,NaN,241.8,NaN,NaN,212.8,398.533874896121,18912.6634370842,34.5073099865784,39.6610115243619,105.227143108194,69.5574736853397,1027.85434033092,101.427731327992,83.0561520323545,31.9698208676588,119.775168509726,0,8,0,0,10
9,17,1,11,2,0,0,3,0,2,5.40224826463797,5.40224826463797,NaN,293.5,NaN,NaN,238,297.993434687971,30813.0407360678,58.906142427197,39.177290587264,110.225299079632,72.622710460913,714.561820258065,106.021813713982,135.214161377347,37.5510957507002,206.352425368776,0,8.26190476190476,0,0,10
10,13,1,13,1,0,0,3,0,4,24.1785857283755,24.1785857283755,NaN,253.5,NaN,NaN,224.75,309.537216943551,33216.0464473445,58.8790909292381,39.9574095702246,90.6471503117919,73.2366583601743,429.713913676897,99.7154534321469,96.7582912566778,38.8890719100459,143.388616991488,0,7.11904761904762,0,0,10
15,10,1,17,1,0,0,5,0,6,2.92381558757033,2.92381558757033,NaN,254.8,NaN,NaN,218.05,317.790288457196,61908.245006978,78.2949272896968,40.1520624021053,100.129668843137,68.8780874552087,781.219534127213,103.162399630655,81.9882759165962,33.5909151952838,278.579453024213,0,6.02380952380952,0,0,10
10,17,1,13,1,0,0,6,0,5,29.3917480988312,29.3917480988312,NaN,242.1,NaN,NaN,222.1,297.762675170962,32838.4441240343,60.8584698062458,40.3885651899235,80.3472697622999,67.2318337825258,760.447470860426,95.4971376692002,99.1320439162657,30.2614284577197,165.584207049915,0,8.16666666666667,0,0,10
15,13,1,15,1,0,0,7,0,7,2.53741090055334,2.53741090055334,NaN,270.95,NaN,NaN,252.85,282.435666132139,29658.241268078,60.975189418826,39.8562164274618,96.3161136968221,69.8798055391791,401.264968967262,99.6953500680008,80.0900472752208,31.3072031994688,203.77980635588,0,8.16666666666667,0,0,10
11,15,1,12,1,0,0,1,0,2,25.1263746771059,25.1263746771059,NaN,280,NaN,NaN,NaN,236.59965827638,33331.8241504706,77.1641235878372,39.9907859901513,90.5577619237917,72.3620653205964,849.247466654034,105.956968240756,123.685263505253,35.9684293656485,262.153043624227,0,8,0,0,10
11,9,1,15,1,0,0,6,0,4,1.19967244948458,1.19967244948458,NaN,274.5,NaN,NaN,236.6,378.019760759871,66922.74281083,68.4340689664043,39.8844337123035,99.8981036529958,73.674960921895,622.625665214656,96.6348694044977,255.017789250512,34.0217797335142,232.332946167886,0,8,0,0,10
10,12,1,11,1,0,0,5,0,5,18.6666539298152,18.6666539298152,NaN,253.8,NaN,NaN,230.5,377.873452150551,52121.428365993,60.4173640072917,39.2779632328403,118.695437024772,73.5824502048717,515.943551296919,95.0613684139195,805.465566689987,41.320952086327,451.009670567456,0,10,0,0,10
