b0_iriL_all,b0_mel0_all,center_stripe_rad_all,iriLmel_density_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_pca_ratio_iriL_all,med_pca_ratio_iriL_all,alignment_score_all,med_cluster_size_all,mean_cluster_size_all,cluster_size_75_all,annulus_In_MB
0,60,0,0,212.858362848762,7907.67387059583,41.7766543910339,NaN,NaN,0,0,0,0,10
0,58,0,0,179.797229850164,6614.77752653271,45.2350031479298,NaN,NaN,0,0,0,0,10
0,59,0,0,222.113588919519,8007.99307547256,40.2890210500627,NaN,NaN,0,0,0,0,10
0,56,0,0,213.219202600018,6721.61125319684,38.4512427478939,NaN,NaN,0,0,0,0,10
0,64,0,0,216.51399767508,6091.49892041454,36.0475793886379,NaN,NaN,0,0,0,0,10
0,53,0,0,203.157298888396,9395.71705748965,47.7125397771408,NaN,NaN,0,0,0,0,10
0,63,0,0,202.582712011546,4985.97682219703,34.8556147523959,NaN,NaN,0,0,0,0,10
0,45,0,0,240.25917514102,10571.7794277083,42.7951019123142,NaN,NaN,0,0,0,0,10
0,53,0,0,212.880959844935,8617.77000261623,43.6074438101352,NaN,NaN,0,0,0,0,10
0,60,0,0,231.549810049906,5888.48534238325,33.1403713174626,NaN,NaN,0,0,0,0,10
0,50,0,0,206.364853758454,8543.65857616573,44.7905307069791,NaN,NaN,0,0,0,0,10
0,59,0,0,213.77682690657,7233.00544976071,39.7831135742877,NaN,NaN,0,0,0,0,10
0,65,0,0,197.489790381634,8228.09773796727,45.9309123450453,NaN,NaN,0,0,0,0,10
0,55,0,0,213.221181679324,6922.36097761344,39.0208544809967,NaN,NaN,0,0,0,0,10
0,66,0,0,201.835715084503,7481.42194660468,42.8542656068283,NaN,NaN,0,0,0,0,10
0,41,0,0,267.428369416533,18628.7682270472,51.0369359671269,NaN,NaN,0,0,0,0,10
0,63,0,0,203.342165486147,9044.63114092603,46.7700663272281,NaN,NaN,0,0,0,0,10
0,52,0,0,235.958406317702,8405.78444477504,38.8556045247366,NaN,NaN,0,0,0,0,10
0,61,0,0,215.812843819229,6411.0496696568,37.1011424694117,NaN,NaN,0,0,0,0,10
0,58,0,0,214.217322403092,8099.02873335364,42.0108901105015,NaN,NaN,0,0,0,0,10
0,69,0,0,200.250894561852,6113.38979806345,39.0451035639466,NaN,NaN,0,0,0,0,10
0,57,0,0,205.92279463514,5218.17489380484,35.079620946389,NaN,NaN,0,0,0,0,10
0,60,0,0,192.668267105158,6629.40869892823,42.259777451673,NaN,NaN,0,0,0,0,10
0,66,0,0,202.157391358914,7324.86013494657,42.3360215342813,NaN,NaN,0,0,0,0,10
0,53,0,0,219.07116701002,8547.54797809326,42.2022447498072,NaN,NaN,0,0,0,0,10
