b0_xanS_all,b0_mel0_all,center_stripe_rad_all,xanSmel_density_all,melxanS_density_all,mean_mel_space_all,var_mel_space_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,mel_CV_all,mean_pca_ratio_mel_all,med_pca_ratio_mel_all,alignment_score_all,mel_med_cluster_size_all,mel_mean_cluster_size_all,mel_cluster_size_75_all,annulus_In_MB
0,0,0,0,0,0,0,47.1690534506505,92.6212025422893,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1976812358301,92.3579333243763,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4984713119883,90.4601117111744,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3133655320719,91.3291195615138,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.6341921954661,82.6619657277264,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3715122549355,99.3888007174726,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1209289736133,109.451202585503,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.8306255730258,85.7896641085553,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2849543336796,99.3568198261382,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0321249335285,91.4337481450365,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.7248641445635,77.2937458527805,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4687006539285,93.5857916548234,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.0302076114653,88.8833992067677,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4459173888776,83.9970988573642,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2918392491159,93.3038472249679,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.4124892373162,87.5657912897462,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1324757890417,97.5368401325832,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.2760404727449,92.4687069553152,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.1824751633728,90.7556809921812,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.6121161319126,89.2492553033421,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3646793464638,86.471696354889,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.3915447694221,96.8761467407947,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
0,0,0,0,0,0,0,47.7359108830339,88.5083024401133,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,10
